Postcode,Sales_Rep_ID,Sales_Rep_Name,Year,Value
2113,789,Ashish,2011,70310.00
2131,123,John,2012,35670.00
2010,789,Ashish,2013,95019.00
2015,456,Jane,2011,79888.00
2116,789,Ashish,2012,46537.00
2069,456,Jane,2013,69285.00
2112,789,Ashish,2011,75682.00
2033,456,Jane,2012,39497.00
2064,123,John,2013,27992.00
2161,123,John,2011,41023.00
2190,123,John,2012,63170.00
2007,456,Jane,2013,2299.00
2163,456,Jane,2011,10715.00
2153,456,Jane,2012,17557.00
2092,123,John,2013,28856.00
2039,456,Jane,2011,55998.00
2086,789,Ashish,2012,34228.00
2204,123,John,2013,19759.00
2047,456,Jane,2011,99865.00
2206,123,John,2012,37002.00
2009,789,Ashish,2013,86506.00
2197,123,John,2011,64203.00
2062,789,Ashish,2012,95386.00
2206,456,Jane,2013,53130.00
2119,123,John,2011,5597.00
2017,789,Ashish,2012,86749.00
2132,456,Jane,2013,80783.00
2066,789,Ashish,2011,65530.00
2072,789,Ashish,2012,29271.00
2088,123,John,2013,67072.00
2196,456,Jane,2011,53379.00
2163,123,John,2012,62579.00
2006,456,Jane,2013,24773.00
2030,789,Ashish,2011,19130.00
2087,456,Jane,2012,72141.00
2089,456,Jane,2013,67958.00
2196,789,Ashish,2011,60644.00
2138,123,John,2012,61285.00
2139,456,Jane,2013,91989.00
2194,456,Jane,2011,60771.00
2086,123,John,2012,26038.00
2122,123,John,2013,13475.00
2038,123,John,2011,82932.00
2061,123,John,2012,40690.00
2170,123,John,2013,36190.00
2135,789,Ashish,2011,46689.00
2131,789,Ashish,2012,30040.00
2091,123,John,2013,57250.00
2042,123,John,2011,38292.00
2205,456,Jane,2012,10554.00
2150,456,Jane,2013,73270.00
2070,456,Jane,2011,58038.00
2067,456,Jane,2012,42027.00
2130,123,John,2013,1513.00
2091,789,Ashish,2011,32610.00
2021,123,John,2012,16080.00
2063,123,John,2013,52398.00
2131,456,Jane,2011,66041.00
2117,123,John,2012,45504.00
2100,789,Ashish,2013,55365.00
2147,456,Jane,2011,81415.00
2161,456,Jane,2012,59929.00
2095,789,Ashish,2013,48058.00
2139,789,Ashish,2011,63168.00
2123,789,Ashish,2012,68917.00
2064,789,Ashish,2013,27360.00
2125,456,Jane,2011,98235.00
2152,456,Jane,2012,31709.00
2111,789,Ashish,2013,39711.00
2046,123,John,2011,73978.00
2113,456,Jane,2012,40581.00
2200,123,John,2013,58858.00
2027,123,John,2011,17271.00
2191,123,John,2012,7711.00
2165,123,John,2013,11815.00
2050,123,John,2011,55591.00
2065,789,Ashish,2012,83495.00
2023,789,Ashish,2013,71676.00
2069,789,Ashish,2011,42792.00
2069,123,John,2012,44478.00
2151,456,Jane,2013,71535.00
2146,456,Jane,2011,1255.00
2037,789,Ashish,2012,41512.00
2145,789,Ashish,2013,56898.00
2145,456,Jane,2011,72324.00
2071,789,Ashish,2012,80893.00
2192,123,John,2013,11248.00
2140,123,John,2011,89202.00
2026,789,Ashish,2012,37881.00
2033,123,John,2013,87068.00
2099,123,John,2011,82290.00
2125,123,John,2012,35987.00
2089,789,Ashish,2013,89069.00
2136,123,John,2011,83059.00
2022,456,Jane,2012,1246.00
2067,123,John,2013,57863.00
2127,789,Ashish,2011,70494.00
2118,456,Jane,2012,13243.00
2065,123,John,2013,88485.00
2193,789,Ashish,2011,82687.00
2073,456,Jane,2012,3158.00
2026,123,John,2013,55339.00
2011,789,Ashish,2011,43356.00
2087,123,John,2012,9483.00
2024,456,Jane,2013,43002.00
2192,789,Ashish,2011,24078.00
2109,456,Jane,2012,45719.00
2130,789,Ashish,2013,51693.00
2194,123,John,2011,66864.00
2141,123,John,2012,54683.00
2136,789,Ashish,2013,882.00
2033,789,Ashish,2011,76990.00
2072,123,John,2012,35366.00
2063,456,Jane,2013,93341.00
2018,789,Ashish,2011,97168.00
2164,123,John,2012,88885.00
2193,456,Jane,2013,79440.00
2031,123,John,2011,65644.00
2130,456,Jane,2012,66248.00
2116,456,Jane,2013,3196.00
